Wave   , FWHM[air], FWHM[H2O], OK, FWHM[ISU]
 70.7026, 0.001500, 0.0255, 1, 2212
 71.0673, 0.004040, 0.0684, 1, 2548
 71.5397, 0.003583, 0.0628, 1, 2640
 71.9466, 0.004   , 0.06  , 1, 3082
 72.7893, 0.000795, 0.0058, 1, 1498
 73.9602, 0.000821, 0.0077, 1, 1944
 74.6451, 0.002   , 0.04  , 0, 3312
 74.9450, 0.002191, 0.0386, 1, 2606
 75.3779, 0.002   , 0.04  , 0, 3192
 75.8311, 0.002   , 0.04  , 0, 3450
 76.4219, 0.001285, 0.0176, 1, 2418
 77.7615, 0.001633, 0.0255, 1, 2481
 78.7407, 0.002   , 0.04  , 0, 2204
 80.2223, 0.001094, 0.0085, 1, 2700
 80.5568, 0.001298, 0.0104, 1, 2700
 82.0315, 0.009757, 0.1676, 1, 2887
 82.9767, 0.001790, 0.0309, 1, 2305
 83.2840, 0.005618, 0.0970, 1, 2751
 84.7669, 0.003018, 0.0517, 1, 2723
 85.4248, 0.001532, 0.0122, 1, 2609
 85.7687, 0.001766, 0.0269, 1, 2629
 92.8108, 0.003618, 0.0618, 1, 2796
 93.3829, 0.002093, 0.0320, 1, 2645
 94.2096, 0.002   , 0.04  , 0, 2234
 95.6272, 0.008230, 0.1362, 1, 2700
 98.4939, 0.004948, 0.0819, 1, 2905
 99.4926, 0.004   , 0.08  , 0, 2835
108.0732, 0.017053, 0.2626, 1, 3612
109.3465, 0.002750, 0.0051, 1, 2700
111.6242, 0.004   , 0.08  , 0, 2914
112.5106, 0.003798, 0.0616, 1, 2964
113.5374, 0.018692, 0.3238, 1, 3135
113.9480, 0.004544, 0.0769, 1, 2700
121.7217, 0.009927, 0.1651, 1, 3368
122.5221, 0.003002, 0.0231, 1, 2687
123.4604, 0.003201, 0.0314, 1, 2732
126.7139, 0.005620, 0.0938, 1, 2700
129.7905, 0.02    , 0.03  , 0, 1867
130.3089, 0.02    , 0.03  , 1, 3137
131.1272, 0.02    , 0.03  , 0, 2162
131.5000, 0.02    , 0.03  , 0, 1876
132.1667, 0.02    , 0.03  , 0, 2700
132.4084, 0.012272, 0.2102, 1, 2700
141.3381, 0.02    , 0.03  , 0, 2700
142.0135, 0.02    , 0.03  , 0, 2700
144.5178, 0.006266, 0.1000, 1, 2700
146.9227, 0.007339, 0.1209, 1, 2700
