Wave   , FWHM[air], FWHM[H2O], OK
47.9732, 0.003590, 0.0582, 1
50.6328, 0.003   , 0.04	 , 0
51.0711, 0.000782, 0.0140, 1
51.4452, 0.001000, 0.0200, 1
51.6851, 0.001336, 0.0223, 1
53.1382, 0.002541, 0.0459, 1
54.5066, 0.000862, 0.0116, 1
55.1310, 0.002280, 0.0385, 1
56.3250, 0.003363, 0.0531, 1
56.8163, 0.002260, 0.0463, 1
58.6990, 0.006512, 0.1272, 1
59.3499, 0.000740, 0.0020, 1
59.9871, 0.002087, 0.0357, 1
61.8086, 0.000917, 0.0081, 1
62.4253, 0.003   , 0.04	 , 0
62.9282, 0.000832, 0.0135, 1
63.3236, 0.003849, 0.0613, 1
63.4580, 0.002175, 0.0391, 1
63.9161, 0.003   , 0.04	 , 0
64.9013, 0.003   , 0.04	 , 0
65.1662, 0.005266, 0.0881, 1
65.5763, 0.000688, 0.0080, 1
66.0927, 0.003757, 0.0637, 1
66.4377, 0.008916, 0.1508, 1
70.7026, 0.001500, 0.0255, 1
71.0673, 0.001500, 0.0255, 1
72.2379, 0.000783, 0.0021, 1
72.7893, 0.000795, 0.0058, 1
72.8736, 0.003   , 0.04  , 0
73.6129, 0.000867, 0.0092, 1
73.9602, 0.000821, 0.0077, 1
