Wave   , FWHM[air], FWHM[H2O], OK, FWHM[ISU]
108.0732, 0.016819, 0.2627, 1, 2710
111.6280, 0.004485, 0.0785, 1, 2300
112.5106, 0.003798, 0.0616, 1, 2300
113.5374, 0.018692, 0.3238, 1, 2300
114.2863, 0.002743, 0.0562, 1, 2300
120.9995, 0.02    , 0.04  , 0, 8411
121.7217, 0.009927, 0.1651, 1, 2410
122.5221, 0.003002, 0.0231, 1, 1899
123.4604, 0.003201, 0.0314, 1, 2028
125.3544, 0.006   , 0.09  , 0, 2433
126.7130, 0.005620, 0.0938, 1, 2165
127.8830, 0.01    , 0.2	  , 0, 2252
129.3390, 0.003513, 0.0286, 1, 2076
132.4084, 0.012272, 0.2102, 1, 2418
133.5581, 0.01    , 0.2	  , 0, 2302
134.9353, 0.010742, 0.1859, 1, 2362
136.4960, 0.010806, 0.1839, 1, 2422
138.5278, 0.013241, 0.2238, 1, 2442
144.5178, 0.006266, 0.1000, 1, 2141
146.9227, 0.007339, 0.1209, 1, 2249
148.7078, 0.004865, 0.0391, 1, 1983
156.1855, 0.01    , 0.2   , 0, 2300
160.5101, 0.012882, 0.2131, 1, 2508
166.8147, 0.008070, 0.1389, 1, 2306
167.0349, 0.007812, 0.1242, 1, 2171
169.7388, 0.004898, 0.2795, 1, 2300
170.1391, 0.007526, 0.1059, 1, 2300
179.5267, 0.029007, 0.4696, 1, 3928
180.4883, 0.018243, 0.3274, 1, 3218
