# wn (scale x 1.083)	PP 75 mu 
24.9685701	0.8529832
25.0193192	0.8531958
25.0700684	0.853461
25.1208175	0.8537772
25.1715666	0.8541397
25.2223157	0.8545405
25.2730649	0.8549695
25.323814	0.8554153
25.3745631	0.8558673
25.4253122	0.8563153
25.4760614	0.8567521
25.5268105	0.8571739
25.5775596	0.8575782
25.6283087	0.8579663
25.6790579	0.8583412
25.729807	0.8587062
25.7805561	0.859065
25.8313053	0.8594208
25.8820544	0.8597752
25.9328035	0.8601286
25.9835526	0.8604808
26.0343018	0.8608298
26.0850509	0.8611736
26.13580	0.8615107
26.1865491	0.8618395
26.2372983	0.8621596
26.2880474	0.8624706
26.3387965	0.8627731
26.3895456	0.8630684
26.4402948	0.8633578
26.4910439	0.8636433
26.541793	0.8639277
26.5925421	0.8642139
26.6432913	0.8645042
26.6940404	0.8648019
26.7447895	0.8651105
26.7955387	0.8654317
26.8462878	0.8657667
26.8970369	0.8661158
26.947786	0.8664774
26.9985352	0.866849
27.0492843	0.8672273
27.1000334	0.8676081
27.1507825	0.8679882
27.2015317	0.8683639
27.2522808	0.8687342
27.3030299	0.8690984
27.353779	0.869458
27.4045282	0.8698156
27.4552773	0.8701745
27.5060264	0.8705379
27.5567755	0.8709087
27.6075247	0.8712891
27.6582738	0.87168
27.7090229	0.8720812
27.759772	0.8724908
27.8105212	0.8729071
27.8612703	0.8733273
27.9120194	0.8737488
27.9627686	0.8741698
28.0135177	0.8745884
28.0642668	0.8750046
28.1150159	0.8754185
28.1657651	0.8758314
28.2165142	0.8762454
28.2672633	0.8766634
28.3180124	0.8770878
28.3687616	0.8775215
28.4195107	0.8779668
28.4702598	0.8784251
28.5210089	0.8788971
28.5717581	0.8793823
28.6225072	0.8798786
28.6732563	0.8803837
28.7240054	0.8808945
28.7747546	0.8814075
28.8255037	0.8819197
28.8762528	0.882429
28.927002	0.882934
28.9777511	0.8834345
29.0285002	0.8839304
29.0792493	0.8844233
29.1299985	0.8849142
29.1807476	0.8854039
29.2314967	0.8858928
29.2822458	0.8863806
29.332995	0.8868665
29.3837441	0.8873491
29.4344932	0.8878267
29.4852423	0.8882987
29.5359915	0.8887646
29.5867406	0.889225
29.6374897	0.8896813
29.6882388	0.8901367
29.738988	0.8905935
29.7897371	0.8910553
29.8404862	0.8915251
29.8912354	0.8920049
29.9419845	0.8924957
29.9927336	0.8929976
30.0434827	0.8935095
30.0942319	0.8940287
30.144981	0.8945531
30.1957301	0.8950801
30.2464792	0.8956072
30.2972284	0.8961328
30.3479775	0.8966566
30.3987266	0.8971788
30.4494757	0.8977015
30.5002249	0.8982266
30.550974	0.898756
30.6017231	0.8992931
30.6524722	0.8998393
30.7032214	0.9003953
30.7539705	0.9009611
30.8047196	0.9015353
30.8554687	0.9021161
30.9062179	0.9027004
30.956967	0.9032855
31.0077161	0.9038689
31.0584653	0.9044482
31.1092144	0.9050221
31.1599635	0.9055901
31.2107126	0.9061527
31.2614618	0.90671
31.3122109	0.9072636
31.36296	0.9078134
31.4137091	0.9083605
31.4644583	0.9089047
31.5152074	0.9094446
31.5659565	0.9099802
31.6167056	0.9105099
31.6674548	0.9110331
31.7182039	0.9115496
31.768953	0.9120603
31.8197021	0.9125671
31.8704513	0.9130721
31.9212004	0.9135787
31.9719495	0.9140899
32.0226987	0.9146088
32.0734478	0.9151371
32.1241969	0.9156752
32.174946	0.9162228
32.2256952	0.9167766
32.2764443	0.9173327
32.3271934	0.9178862
32.3779425	0.9184312
32.4286917	0.9189633
32.4794408	0.9194784
32.5301899	0.9199755
32.580939	0.9204556
32.6316882	0.9209226
32.6824373	0.9213825
32.7331864	0.9218445
32.7839355	0.9223172
32.8346847	0.9228102
32.8854338	0.9233307
32.9361829	0.9238837
32.9869321	0.9244706
33.0376812	0.9250892
33.0884303	0.9257339
33.1391794	0.9263951
33.1899286	0.9270633
33.2406777	0.9277284
33.2914268	0.9283806
33.3421759	0.9290133
33.3929251	0.9296229
33.4436742	0.9302086
33.4944233	0.930773
33.5451724	0.9313206
33.5959216	0.9318576
33.6466707	0.9323902
33.6974198	0.932925
33.7481689	0.9334665
33.7989181	0.9340186
33.8496672	0.9345835
33.9004163	0.9351614
33.9511655	0.9357524
34.0019146	0.9363549
34.0526637	0.9369677
34.1034128	0.9375887
34.154162	0.9382157
34.2049111	0.9388465
34.2556602	0.9394797
34.3064093	0.9401125
34.3571585	0.9407434
34.4079076	0.9413708
34.4586567	0.9419928
34.5094058	0.9426083
34.560155	0.9432163
34.6109041	0.9438159
34.6616532	0.9444062
34.7124023	0.9449863
34.7631515	0.9455553
34.8139006	0.9461116
34.8646497	0.946654
34.9153988	0.9471818
34.966148	0.9476944
35.0168971	0.9481922
35.0676462	0.9486772
35.1183954	0.9491522
35.1691445	0.9496213
35.2198936	0.9500896
35.2706427	0.9505621
35.3213919	0.951044
35.372141	0.9515394
35.4228901	0.952051
35.4736392	0.9525806
35.5243884	0.9531275
35.5751375	0.9536902
35.6258866	0.9542657
35.6766357	0.9548499
35.7273849	0.9554379
35.778134	0.9560244
35.8288831	0.9566026
35.8796322	0.9571657
35.9303814	0.957706
35.9811305	0.9582168
36.0318796	0.9586905
36.0826288	0.9591225
36.1333779	0.9595093
36.184127	0.9598514
36.2348761	0.9601532
36.2856253	0.9604225
36.3363744	0.9606711
36.3871235	0.9609129
36.4378726	0.9611635
36.4886218	0.9614372
36.5393709	0.9617457
36.59012	0.9620973
36.6408691	0.9624952
36.6916183	0.9629378
36.7423674	0.9634205
36.7931165	0.9639341
36.8438656	0.9644699
36.8946148	0.9650187
36.9453639	0.9655739
36.996113	0.9661303
37.0468622	0.9666861
37.0976113	0.9672418
37.1483604	0.9677984
37.1991095	0.9683572
37.2498587	0.9689197
37.3006078	0.9694852
37.3513569	0.970051
37.402106	0.9706143
37.4528552	0.9711707
37.5036043	0.9717156
37.5543534	0.9722466
37.6051025	0.972762
37.6558517	0.9732626
37.7066008	0.9737507
37.7573499	0.9742294
37.808099	0.9747029
37.8588482	0.9751731
37.9095973	0.975641
37.9603464	0.9761044
38.0110955	0.9765593
38.0618447	0.9769986
38.1125938	0.9774151
38.1633429	0.9778006
38.2140921	0.9781492
38.2648412	0.9784569
38.3155903	0.9787238
38.3663394	0.9789541
38.4170886	0.9791564
38.4678377	0.979342
38.5185868	0.9795253
38.5693359	0.9797214
38.6200851	0.9799441
38.6708342	0.9802065
38.7215833	0.9805171
38.7723324	0.9808796
38.8230816	0.9812937
38.8738307	0.9817545
38.9245798	0.9822533
38.9753289	0.9827784
39.0260781	0.9833172
39.0768272	0.9838572
39.1275763	0.9843869
39.1783255	0.9848968
39.2290746	0.9853801
39.2798237	0.9858335
39.3305728	0.9862553
39.381322	0.9866464
39.4320711	0.9870083
39.4828202	0.987344
39.5335693	0.9876557
39.5843185	0.9879445
39.6350676	0.9882117
39.6858167	0.988457
39.7365658	0.9886796
39.787315	0.9888796
39.8380641	0.9890582
39.8888132	0.9892178
39.9395623	0.9893634
39.9903115	0.9895015
40.0410606	0.989641
40.0918097	0.9897913
40.1425589	0.9899614
40.193308	0.9901592
40.2440571	0.9903881
40.2948062	0.9906497
40.3455554	0.99094
40.3963045	0.9912512
40.4470536	0.991573
40.4978027	0.9918932
40.5485519	0.9922001
40.599301	0.9924837
40.6500501	0.9927374
40.7007992	0.9929596
40.7515484	0.9931524
40.8022975	0.9933228
40.8530466	0.99348
40.9037957	0.993635
40.9545449	0.9937984
41.005294	0.9939785
41.0560431	0.9941803
41.1067922	0.9944046
41.1575414	0.9946488
41.2082905	0.9949073
41.2590396	0.9951716
41.3097888	0.9954337
41.3605379	0.9956854
41.411287	0.9959207
41.4620361	0.9961354
41.5127853	0.9963279
41.5635344	0.9964988
